web-scraper-start-url	playerlink	playerlink-href
http://m.yankees.mlb.com/bal/roster/40-man/	Trey Mancini	http://m.yankees.mlb.com/player/641820/trey-mancini
http://m.yankees.mlb.com/bal/roster/40-man/	Mark Trumbo	http://m.yankees.mlb.com/player/444432/mark-trumbo
http://m.yankees.mlb.com/bal/roster/40-man/	Jimmy Yacabonis	http://m.yankees.mlb.com/player/642231/jimmy-yacabonis
http://m.yankees.mlb.com/bal/roster/40-man/	Hunter Harvey	http://m.yankees.mlb.com/player/640451/hunter-harvey
http://m.yankees.mlb.com/bal/roster/40-man/	Mychal Givens	http://m.yankees.mlb.com/player/571710/mychal-givens
http://m.yankees.mlb.com/bal/roster/40-man/	Mike Wright	http://m.yankees.mlb.com/player/605541/mike-wright
http://m.yankees.mlb.com/bal/roster/40-man/	Zach Britton	http://m.yankees.mlb.com/player/502154/zach-britton
http://m.yankees.mlb.com/bal/roster/40-man/	Miguel Castro	http://m.yankees.mlb.com/player/612434/miguel-castro
http://m.yankees.mlb.com/bal/roster/40-man/	Jonathan Schoop	http://m.yankees.mlb.com/player/570731/jonathan-schoop
http://m.yankees.mlb.com/bal/roster/40-man/	Anthony Santander	http://m.yankees.mlb.com/player/623993/anthony-santander
http://m.yankees.mlb.com/bal/roster/40-man/	Stefan Crichton	http://m.yankees.mlb.com/player/592233/stefan-crichton
http://m.yankees.mlb.com/bal/roster/40-man/	Austin Hays	http://m.yankees.mlb.com/player/669720/austin-hays
http://m.yankees.mlb.com/bal/roster/40-man/	Joey Rickard	http://m.yankees.mlb.com/player/572073/joey-rickard
http://m.yankees.mlb.com/bal/roster/40-man/	Chance Sisco	http://m.yankees.mlb.com/player/642082/chance-sisco
http://m.yankees.mlb.com/bal/roster/40-man/	Manny Machado	http://m.yankees.mlb.com/player/592518/manny-machado
http://m.yankees.mlb.com/bal/roster/40-man/	Chris Lee	http://m.yankees.mlb.com/player/595296/chris-lee
http://m.yankees.mlb.com/bal/roster/40-man/	David Hess	http://m.yankees.mlb.com/player/605276/david-hess
http://m.yankees.mlb.com/bal/roster/40-man/	Austin Wynns	http://m.yankees.mlb.com/player/642851/austin-wynns
http://m.yankees.mlb.com/bal/roster/40-man/	Adam Jones	http://m.yankees.mlb.com/player/430945/adam-jones
http://m.yankees.mlb.com/bal/roster/40-man/	Jesus Liranzo	http://m.yankees.mlb.com/player/622338/jesus-liranzo
http://m.yankees.mlb.com/bal/roster/40-man/	Alec Asher	http://m.yankees.mlb.com/player/594742/alec-asher
http://m.yankees.mlb.com/bal/roster/40-man/	Caleb Joseph	http://m.yankees.mlb.com/player/543376/caleb-joseph
web-scraper-start-url	playerlink	playerlink-href
http://m.yankees.mlb.com/bos/roster/40-man/	Xander Bogaerts	http://m.yankees.mlb.com/player/593428/xander-bogaerts
http://m.yankees.mlb.com/bos/roster/40-man/	Sandy Leon	http://m.yankees.mlb.com/player/506702/sandy-leon
http://m.yankees.mlb.com/bos/roster/40-man/	Dustin Pedroia	http://m.yankees.mlb.com/player/456030/dustin-pedroia
http://m.yankees.mlb.com/bos/roster/40-man/	Jackie Bradley Jr.	http://m.yankees.mlb.com/player/598265/jackie-bradley-jr
http://m.yankees.mlb.com/bos/roster/40-man/	Chris Sale	http://m.yankees.mlb.com/player/519242/chris-sale
http://m.yankees.mlb.com/bos/roster/40-man/	Rick Porcello	http://m.yankees.mlb.com/player/519144/rick-porcello
http://m.yankees.mlb.com/bos/roster/40-man/	Brock Holt	http://m.yankees.mlb.com/player/571788/brock-holt
http://m.yankees.mlb.com/bos/roster/40-man/	David Price	http://m.yankees.mlb.com/player/456034/david-price
http://m.yankees.mlb.com/bos/roster/40-man/	Blake Swihart	http://m.yankees.mlb.com/player/596119/blake-swihart
http://m.yankees.mlb.com/bos/roster/40-man/	Deven Marrero	http://m.yankees.mlb.com/player/571918/deven-marrero
http://m.yankees.mlb.com/bos/roster/40-man/	Robby Scott	http://m.yankees.mlb.com/player/582494/robby-scott
http://m.yankees.mlb.com/bos/roster/40-man/	Brian Johnson	http://m.yankees.mlb.com/player/598271/brian-johnson
http://m.yankees.mlb.com/bos/roster/40-man/	Tzu-Wei Lin	http://m.yankees.mlb.com/player/624407/tzu-wei-lin
http://m.yankees.mlb.com/bos/roster/40-man/	Hanley Ramirez	http://m.yankees.mlb.com/player/434670/hanley-ramirez
http://m.yankees.mlb.com/bos/roster/40-man/	Steven Wright	http://m.yankees.mlb.com/player/453214/steven-wright
http://m.yankees.mlb.com/bos/roster/40-man/	Drew Pomeranz	http://m.yankees.mlb.com/player/519141/drew-pomeranz
http://m.yankees.mlb.com/bos/roster/40-man/	Andrew Benintendi	http://m.yankees.mlb.com/player/643217/andrew-benintendi
http://m.yankees.mlb.com/bos/roster/40-man/	Ben Taylor	http://m.yankees.mlb.com/player/664701/ben-taylor
http://m.yankees.mlb.com/bos/roster/40-man/	Bryce Brentz	http://m.yankees.mlb.com/player/518490/bryce-brentz
http://m.yankees.mlb.com/bos/roster/40-man/	Eduardo Rodriguez	http://m.yankees.mlb.com/player/593958/eduardo-rodriguez
http://m.yankees.mlb.com/bos/roster/40-man/	Austin Maddox	http://m.yankees.mlb.com/player/545348/austin-maddox
http://m.yankees.mlb.com/bos/roster/40-man/	Chandler Shepherd	http://m.yankees.mlb.com/player/605469/chandler-shepherd
http://m.yankees.mlb.com/bos/roster/40-man/	Henry Owens	http://m.yankees.mlb.com/player/596064/henry-owens
http://m.yankees.mlb.com/bos/roster/40-man/	Rafael Devers	http://m.yankees.mlb.com/player/646240/rafael-devers
http://m.yankees.mlb.com/bos/roster/40-man/	Matt Barnes	http://m.yankees.mlb.com/player/598264/matt-barnes
http://m.yankees.mlb.com/bos/roster/40-man/	Craig Kimbrel	http://m.yankees.mlb.com/player/518886/craig-kimbrel
http://m.yankees.mlb.com/bos/roster/40-man/	Tyler Thornburg	http://m.yankees.mlb.com/player/592804/tyler-thornburg
http://m.yankees.mlb.com/bos/roster/40-man/	Carson Smith	http://m.yankees.mlb.com/player/605476/carson-smith
http://m.yankees.mlb.com/bos/roster/40-man/	Sam Travis	http://m.yankees.mlb.com/player/607752/sam-travis
http://m.yankees.mlb.com/bos/roster/40-man/	Roenis Elias	http://m.yankees.mlb.com/player/606273/roenis-elias
http://m.yankees.mlb.com/bos/roster/40-man/	Hector Velazquez	http://m.yankees.mlb.com/player/584171/hector-velazquez
http://m.yankees.mlb.com/bos/roster/40-man/	Heath Hembree	http://m.yankees.mlb.com/player/592390/heath-hembree
http://m.yankees.mlb.com/bos/roster/40-man/	Williams Jerez	http://m.yankees.mlb.com/player/605301/williams-jerez
http://m.yankees.mlb.com/bos/roster/40-man/	Brandon Workman	http://m.yankees.mlb.com/player/519443/brandon-workman
http://m.yankees.mlb.com/bos/roster/40-man/	Jalen Beeks	http://m.yankees.mlb.com/player/656222/jalen-beeks
http://m.yankees.mlb.com/bos/roster/40-man/	Ty Buttrey	http://m.yankees.mlb.com/player/621142/ty-buttrey
http://m.yankees.mlb.com/bos/roster/40-man/	Christian Vazquez	http://m.yankees.mlb.com/player/543877/christian-vazquez
http://m.yankees.mlb.com/bos/roster/40-man/	Marco Hernandez	http://m.yankees.mlb.com/player/593523/marco-hernandez
http://m.yankees.mlb.com/bos/roster/40-man/	Mookie Betts	http://m.yankees.mlb.com/player/605141/mookie-betts
http://m.yankees.mlb.com/bos/roster/40-man/	Joe Kelly	http://m.yankees.mlb.com/player/523260/joe-kelly
web-scraper-start-url	playerlink	playerlink-href
http://m.yankees.mlb.com/tb/roster/40-man/	Yonny Chirinos	http://m.yankees.mlb.com/player/630023/yonny-chirinos
http://m.yankees.mlb.com/tb/roster/40-man/	Blake Snell	http://m.yankees.mlb.com/player/605483/blake-snell
http://m.yankees.mlb.com/tb/roster/40-man/	Diego Castillo	http://m.yankees.mlb.com/player/650895/diego-castillo
http://m.yankees.mlb.com/tb/roster/40-man/	Jose Mujica	http://m.yankees.mlb.com/player/620445/jose-mujica
http://m.yankees.mlb.com/tb/roster/40-man/	Willy Adames	http://m.yankees.mlb.com/player/642715/willy-adames
http://m.yankees.mlb.com/tb/roster/40-man/	Jaime Schultz	http://m.yankees.mlb.com/player/621289/jaime-schultz
http://m.yankees.mlb.com/tb/roster/40-man/	Chih-Wei Hu	http://m.yankees.mlb.com/player/629496/chih-wei-hu
http://m.yankees.mlb.com/tb/roster/40-man/	Alex Colome	http://m.yankees.mlb.com/player/517008/alex-colome
http://m.yankees.mlb.com/tb/roster/40-man/	Evan Longoria	http://m.yankees.mlb.com/player/446334/evan-longoria
http://m.yankees.mlb.com/tb/roster/40-man/	Ryan Yarbrough	http://m.yankees.mlb.com/player/642232/ryan-yarbrough
http://m.yankees.mlb.com/tb/roster/40-man/	Dan Jennings	http://m.yankees.mlb.com/player/543359/dan-jennings
http://m.yankees.mlb.com/tb/roster/40-man/	Hunter Wood	http://m.yankees.mlb.com/player/621056/hunter-wood
http://m.yankees.mlb.com/tb/roster/40-man/	Wilson Ramos	http://m.yankees.mlb.com/player/467092/wilson-ramos
http://m.yankees.mlb.com/tb/roster/40-man/	Chase Whitley	http://m.yankees.mlb.com/player/595032/chase-whitley
http://m.yankees.mlb.com/tb/roster/40-man/	Steven Souza Jr.	http://m.yankees.mlb.com/player/519306/steven-souza-jr
http://m.yankees.mlb.com/tb/roster/40-man/	Jake Faria	http://m.yankees.mlb.com/player/607188/jake-faria
http://m.yankees.mlb.com/tb/roster/40-man/	Chaz Roe	http://m.yankees.mlb.com/player/475054/chaz-roe
http://m.yankees.mlb.com/tb/roster/40-man/	Jesus Sucre	http://m.yankees.mlb.com/player/491696/jesus-sucre
http://m.yankees.mlb.com/tb/roster/40-man/	Nathan Eovaldi	http://m.yankees.mlb.com/player/543135/nathan-eovaldi
http://m.yankees.mlb.com/tb/roster/40-man/	Brent Honeywell	http://m.yankees.mlb.com/player/641703/brent-honeywell
http://m.yankees.mlb.com/tb/roster/40-man/	Brad Boxberger	http://m.yankees.mlb.com/player/502202/brad-boxberger
http://m.yankees.mlb.com/tb/roster/40-man/	Brad Miller	http://m.yankees.mlb.com/player/543543/brad-miller
http://m.yankees.mlb.com/tb/roster/40-man/	Xavier Cedeno	http://m.yankees.mlb.com/player/458584/xavier-cedeno
http://m.yankees.mlb.com/tb/roster/40-man/	Adeiny Hechavarria	http://m.yankees.mlb.com/player/588751/adeiny-hechavarria
http://m.yankees.mlb.com/tb/roster/40-man/	Jose De Leon	http://m.yankees.mlb.com/player/592254/jose-de-leon
http://m.yankees.mlb.com/tb/roster/40-man/	Mallex Smith	http://m.yankees.mlb.com/player/605480/mallex-smith
http://m.yankees.mlb.com/tb/roster/40-man/	Micah Johnson	http://m.yankees.mlb.com/player/608672/micah-johnson
http://m.yankees.mlb.com/tb/roster/40-man/	Jake Bauers	http://m.yankees.mlb.com/player/641343/jake-bauers
http://m.yankees.mlb.com/tb/roster/40-man/	Chris Archer	http://m.yankees.mlb.com/player/502042/chris-archer
http://m.yankees.mlb.com/tb/roster/40-man/	Matt Andriese	http://m.yankees.mlb.com/player/542882/matt-andriese
http://m.yankees.mlb.com/tb/roster/40-man/	Matt Duffy	http://m.yankees.mlb.com/player/622110/matt-duffy
http://m.yankees.mlb.com/tb/roster/40-man/	Jose Alvarado	http://m.yankees.mlb.com/player/621237/jose-alvarado
http://m.yankees.mlb.com/tb/roster/40-man/	Justin Williams	http://m.yankees.mlb.com/player/642211/justin-williams
http://m.yankees.mlb.com/tb/roster/40-man/	Jake Odorizzi	http://m.yankees.mlb.com/player/543606/jake-odorizzi
http://m.yankees.mlb.com/tb/roster/40-man/	Corey Dickerson	http://m.yankees.mlb.com/player/572816/corey-dickerson
